no,image,frame_id,gt_range_m,question,your_answer_yes_no_unsure,what_you_saw,notes
1,01_frame000901_18m.jpg,901,17.9,회전익 항공기인가 (팔 4개 + 착륙 다리),,,
2,02_frame001051_31m.jpg,1051,30.7,901과 같은 기체인가,,,
3,03_frame004937_62m.jpg,4937,61.5,회전익 형상이 보이는가,,,
4,04_frame005251_61m.jpg,5251,61.4,"비행 후반, 같은 기체인가",,,
5,05_frame001605_82m.jpg,1605,82.3,흐릿하지만 항공기인가,,,
6,06_frame003909_97m.jpg,3909,97.0,"최원거리, 항공기인가",,,
7,07_frame001651_87m.jpg,1651,87.2,표시가 나무에 있지 않은가,,,
8,08_frame001778_88m.jpg,1778,87.5,표시가 나무 꼭대기에 있지 않은가,,,
9,09_frame000001_6m.jpg,1,5.8,표적이 화면에 없는 것이 맞는가,,,
10,10_frame003451_55m.jpg,3451,54.9,표시된 것이 드론이 아니라 나무인가,,,
