no,image,frame_id,gt_range_m,question_as_asked,answer,verbatim_korean,recorded_note
1,01_frame000901_18m.jpg,901,17.9,6암 기체가 보이는가,aircraft_yes_but_four_arms,"항공기는 맞는데, 팔이 4개고 바닥에 착륙할때 필요한 지지대가 있는거 같은데, 6개가 아닌거 같아","이 답변이 6암 판별자 철회의 근거다. 14배 확대로 확인: 굵은 팔 4개 + 가는 착륙 다리 2개 + 안테나 마스트"
2,02_frame001051_31m.jpg,1051,30.7,같은 6암 기체인가,yes_same_aircraft,같은 항공기,질문의 '6암' 부분은 무효이나 '같은 기체인가'에 대한 답은 유효하다
3,03_frame004937_62m.jpg,4937,61.5,회전익 형상이 보이는가,yes_same_aircraft,같은 항공기,
4,04_frame005251_61m.jpg,5251,61.4,"비행 후반, 같은 기체인가",yes_same_aircraft,같은 항공기,
5,05_frame001605_82m.jpg,1605,82.3,흐릿하지만 항공기인가,yes_aircraft,항공기,
6,06_frame003909_97m.jpg,3909,97.0,"최원거리, 항공기인가",yes_aircraft,항공기,
7,07_frame001651_87m.jpg,1651,87.2,표시가 나무에 있지 않은가,aircraft_present_mark_slightly_low,있음 표시한 지점 살짝 위,"기체는 있으나 기록된 중심이 살짝 아래다. 제외 후보로 낸 프레임인데 기체가 보인다는 답이다"
8,08_frame001778_88m.jpg,1778,87.5,표시가 나무 꼭대기에 있지 않은가,no_aircraft,없음,제외 예상과 일치한다
9,09_frame000001_6m.jpg,1,5.8,표적이 화면에 없는 것이 맞는가,absent_confirmed,없음,화면 밖 예상과 일치한다
10,10_frame003451_55m.jpg,3451,54.9,표시된 것이 드론이 아니라 나무인가,tree_confirmed,나무,나무 예상과 일치한다
